Date,Time,TimeZone,Name,Type,Status,Currency,Gross,Fee,Net,From Email Address,To Email Address,Transaction ID,Shipping Address,Address Status,Item Title,Item ID,Shipping and Handling Amount,Insurance Amount,Sales Tax,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Reference Txn ID,Invoice Number,Custom Number,Quantity,Receipt ID,Balance,Address Line 1,Address Line 2/District/Neighborhood,Town/City,State/Province/Region/County/Territory/Prefecture/Republic,Zip/Postal Code,Country,Contact Phone Number,Subject,Note,Country Code,Balance Impact
2/26/2020,1:05:42,PDT,Luther Wire,Donation Payment,Completed,USD,80,0,80,luther.wire@nowhere.com,support@patreon.com,DJ9XF4DKAGX6ZTASW,,Non-Confirmed,Patreon* Membership,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2020,9:05:13,PDT,Phuong Triggs,Subscription Payment,Completed,USD,5,-1.03,3.97,phuong.triggs@nowhere.com,donor_contact@donordb.org,BY49DDJQKG66V9GBL,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2021,4:48:23,PDT,Ben Going,Donation Payment,Completed,USD,80,-1.75,78.25,ben.going@nowhere.com,donor_contact@donordb.org,IYG2FVV64FMXQUB5Q,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2021,17:16:19,PDT,Treena Mcnellis,Donation Payment,Completed,USD,40,-2.83,37.17,treena.mcnellis@nowhere.com,donor_contact@donordb.org,DU25XMY9QN12M4Z5W,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2020,19:09:45,PDT,Phuong Triggs,Donation Payment,Completed,USD,50,-1.75,48.25,phuong.triggs@nowhere.com,donor_contact@donordb.org,09CD7O3XNAPFFOYX9,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2021,1:28:47,PDT,Luther Wire,Subscription Payment,Completed,USD,80,-1.75,78.25,luther.wire@nowhere.com,donor_contact@donordb.org,XWF5H8MS991TVNX8G,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2020,18:18:13,PDT,Treena Mcnellis,Donation Payment,Completed,USD,50,-3.2,46.8,treena.mcnellis@nowhere.com,donor_contact@donordb.org,5IRMYPUKDWH1YMW6A,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2020,17:54:36,PDT,Ben Going,Subscription Payment,Completed,USD,5,-1.75,3.25,ben.going@nowhere.com,donor_contact@donordb.org,LXMZSV1V6YKSFBE9L,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,8:05:58,PDT,Norbert Mcaleer,Donation Payment,Completed,USD,60,0,60,norbert.mcaleer@nowhere.com,paypal@mailchimp.com,H7N7ZD7YBI0ICFLWA,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2020,7:30:09,PDT,Phuong Triggs,Subscription Payment,Completed,USD,55,-0.88,54.12,phuong.triggs@nowhere.com,donor_contact@donordb.org,TQBU41BG2CM1KF12G,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/2020,13:18:53,PDT,Patti Krueger,Donation Payment,Completed,USD,35,-0.96,34.04,patti.krueger@nowhere.com,donor_contact@donordb.org,O912F3PVHPFS7KNF7,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/2021,20:30:29,PDT,Ben Going,Donation Payment,Completed,USD,90,-3.2,86.8,ben.going@nowhere.com,donor_contact@donordb.org,O8HE7EPMI7HVMZWUT,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2020,11:51:49,PDT,Phuong Triggs,Donation Payment,Completed,USD,10,-0.88,9.12,phuong.triggs@nowhere.com,donor_contact@donordb.org,1HSFZ5BAJHBXITJ37,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,4:46:48,PDT,Kelly Coddington,Donation Payment,Completed,USD,60,0,60,kelly.coddington@nowhere.com,support@patreon.com,BRA9MWQRQ9FCV6FZB,,Non-Confirmed,Patreon* Membership,,,,,,,,,,,,,,,,,,,,,,,,,
